_catalog_row,imdb_resolved_id,imdb_match_method,imdb_match_status,imdb_match_candidates
78564,tt0338608,existing_imdb_id,matched,1
78565,tt2091114,existing_imdb_id,matched,1
78566,tt0406440,existing_imdb_id,matched,1
78567,tt0372053,existing_imdb_id,matched,1
78568,tt0389577,existing_imdb_id,matched,1
78569,tt0338588,existing_imdb_id,matched,1
78570,,,not_found_correct_type,0
78571,,,not_found,0
78572,tt0475045,existing_imdb_id,matched,1
78573,tt0372641,existing_imdb_id,matched,1
78574,,,not_found,0
78575,tt0387775,existing_imdb_id,matched,1
78576,tt0972633,existing_imdb_id,matched,1
78577,tt0407372,exact_title_type_year,matched,1
78578,tt0377191,existing_imdb_id,matched,1
78579,tt0380971,existing_imdb_id,matched,1
78580,tt0445867,existing_imdb_id,matched,1
78581,tt0386245,exact_title_type_year,matched,1
78582,tt0368550,existing_imdb_id,matched,1
78583,tt0466413,exact_title_type_year,matched,1
78584,tt0069602,exact_title_type_year,matched,1
78585,tt13990474,existing_imdb_id,matched,1
78586,tt10619486,existing_imdb_id,matched,1
78587,tt30843226,exact_title_type_year,matched,1
78588,tt16991810,existing_imdb_id,matched,1
78589,tt15099950,existing_imdb_id,matched,1
78590,tt9811118,existing_imdb_id,matched,1
78591,tt15068148,existing_imdb_id,matched,1
78592,tt10545250,existing_imdb_id,matched,1
78593,tt14465474,existing_imdb_id,matched,1
78594,tt14170016,existing_imdb_id,matched,1
78595,tt18225840,exact_title_type_year,matched,1
78596,tt12635162,exact_title_type_year,matched,1
78597,tt11650736,existing_imdb_id,matched,1
78598,tt14129418,existing_imdb_id,matched,1
78599,tt15358618,existing_imdb_id,matched,1
78600,tt10731840,existing_imdb_id,matched,1
78601,tt13752928,existing_imdb_id,matched,1
78602,tt13304700,existing_imdb_id,matched,1
78603,tt34882755,existing_imdb_id,matched,1
78604,tt14482296,existing_imdb_id,matched,1
78605,tt12979412,existing_imdb_id,matched,1
78606,tt11343600,existing_imdb_id,matched,1
78607,tt15334452,existing_imdb_id,matched,1
78608,tt13667622,existing_imdb_id,matched,1
