tconst,directors,writers
tt0035931,"nm0001366,nm0002061","nm0153106,nm0835632,nm0601139,nm0056227,nm0675729"
tt0036418,nm0229424,nm0874308
tt0036855,nm0002030,"nm0886668,nm0281556,nm0049721,nm0358096"
tt0037094,nm0792605,"nm0258493,nm0901896,nm16909158"
tt0037098,nm0329574,"nm0775770,nm0009205,nm0044831,nm0236980,nm0725159"
tt0037614,nm0710924,"nm0732452,nm0147119,nm0930539"
tt0037816,nm0550892,"nm0083125,nm0124918,nm0257700,nm0335455"
tt0037823,nm0908831,"nm0287931,nm0020521,nm0237225,nm0720904,nm0407633,nm0678205,nm0753452"
tt0038108,nm0097648,"nm0946753,nm0542534,nm0533418"
tt0038196,nm0003433,"nm0813915,nm0340471,nm0003433"
tt0038343,nm0733476,"nm0389653,nm0507932,nm0733476"
tt0038559,nm0896533,"nm0254154,nm0252100,nm0663763,nm0372942"
tt0038650,nm0001008,"nm0329304,nm0352443,nm0001008,nm0842485,nm0827821,nm0933858"
tt0038913,nm0001120,"nm0024847,nm0290000,nm0899170,nm0953790"
